Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"EC Legacy Regression Testing, OPSUI",Chrome 129.0.0.0,,,25-09-2024 17:02:34,25-09-2024 17:03:29,55.171s,PASSED
,,,,,,,
Test Cases/EasyClaimLegacyLogin,Chrome 129.0.0.0,,,25-09-2024 17:02:34,25-09-2024 17:02:39,4.533s,PASSED
"openBrowser("""")",Chrome 129.0.0.0,,,25-09-2024 17:02:35,25-09-2024 17:02:36,1.677s,PASSED
"navigateToUrl(""http://172.30.1.26/OPSUI.EasyClaims.Legacy/Account/Login?ReturnUrl=%2FOPSUI.EasyClaims.Legacy%2F"")",Chrome 129.0.0.0,,,25-09-2024 17:02:36,25-09-2024 17:02:37,1.132s,PASSED
maximizeWindow(),Chrome 129.0.0.0,,,25-09-2024 17:02:37,25-09-2024 17:02:37,0.066s,PASSED
"setText(findTestObject(""Object Repository/Page_Login - Easy Claims/input_Username_Username""), ""patcheadmin2"")",Chrome 129.0.0.0,,,25-09-2024 17:02:37,25-09-2024 17:02:38,0.683s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Login - Easy Claims/input_Password_Password""), ""nwr9I1qT+J0GbQ++JlYjHw=="")",Chrome 129.0.0.0,,,25-09-2024 17:02:38,25-09-2024 17:02:39,0.335s,PASSED
"sendKeys(findTestObject(""Object Repository/Page_Login - Easy Claims/input_Password_Password""), Keys.chord(ENTER))",Chrome 129.0.0.0,,,25-09-2024 17:02:39,25-09-2024 17:02:39,0.376s,PASSED
,,,,,,,
Test Cases/EasyClaimLegacyConnect,Chrome 129.0.0.0,,,25-09-2024 17:02:39,25-09-2024 17:02:52,12.737s,PASSED
"callTestCase(findTestCase(""EasyClaimLegacyLogin""), [:], STOP_ON_FAILURE)",Chrome 129.0.0.0,,,25-09-2024 17:02:39,25-09-2024 17:02:42,3.132s,PASSED
"setText(findTestObject(""Object Repository/Page_Connect - Easy Claims/input_Username_Username""), ""PRO01_BDH_IJCM_01"")",Chrome 129.0.0.0,,,25-09-2024 17:02:42,25-09-2024 17:02:45,3.169s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Connect - Easy Claims/input_Password_Password""), ""P22/mDurbpKTCUGWnKJ+/Q=="")",Chrome 129.0.0.0,,,25-09-2024 17:02:45,25-09-2024 17:02:46,0.315s,PASSED
"click(findTestObject(""Object Repository/Page_Connect - Easy Claims/input_Password_k-button k-primary""))",Chrome 129.0.0.0,,,25-09-2024 17:02:46,25-09-2024 17:02:46,0.313s,PASSED
"navigateToUrl(""http://172.30.1.26/OPSUI.EasyClaims.Legacy/"")",Chrome 129.0.0.0,,,25-09-2024 17:02:46,25-09-2024 17:02:47,0.625s,PASSED
delay(5),Chrome 129.0.0.0,,,25-09-2024 17:02:47,25-09-2024 17:02:52,5.024s,PASSED
,,,,,,,
Test Cases/EasyClaimLegacyFileClaiming,Chrome 129.0.0.0,,,25-09-2024 17:02:52,25-09-2024 17:03:29,37.725s,PASSED
"callTestCase(findTestCase(""EasyClaimLegacyConnect""), [:], STOP_ON_FAILURE)",Chrome 129.0.0.0,,,25-09-2024 17:02:52,25-09-2024 17:03:09,17.607s,PASSED
"click(findTestObject(""Object Repository/Page_ClaimFiling - Easy Claims/Page_Home - Easy Claims/a_File Claim""))",Chrome 129.0.0.0,,,25-09-2024 17:03:09,25-09-2024 17:03:11,1.800s,PASSED
"navigateToUrl(""http://172.30.1.26/OPSUI.EasyClaims.Legacy/Claim/Create"")",Chrome 129.0.0.0,,,25-09-2024 17:03:11,25-09-2024 17:03:14,2.460s,PASSED
"click(findTestObject(""Object Repository/Page_ClaimFiling - Easy Claims/Page_File Claim - Easy Claims/input_PIN_MemberPIN""))",Chrome 129.0.0.0,,,25-09-2024 17:03:14,25-09-2024 17:03:15,1.464s,PASSED
"sendKeys(findTestObject(""Object Repository/Page_ClaimFiling - Easy Claims/Page_File Claim - Easy Claims/input_PIN_MemberPIN""), ""05-201174650-0"")",Chrome 129.0.0.0,,,25-09-2024 17:03:15,25-09-2024 17:03:15,0.303s,PASSED
"click(findTestObject(""Object Repository/Page_ClaimFiling - Easy Claims/Page_File Claim - Easy Claims/div_MemberGender_DefaultMaleFemale""))",Chrome 129.0.0.0,,,25-09-2024 17:03:15,25-09-2024 17:03:16,0.278s,PASSED
"click(findTestObject(""Object Repository/Page_ClaimFiling - Easy Claims/Page_File Claim - Easy Claims/div_kendo.syncReady(function()jQuery(Member_da9fb1""))",Chrome 129.0.0.0,,,25-09-2024 17:03:16,25-09-2024 17:03:16,0.276s,PASSED
"click(findTestObject(""Object Repository/Page_ClaimFiling - Easy Claims/Page_File Claim - Easy Claims/input_PIN_fetchMemberBtn""))",Chrome 129.0.0.0,,,25-09-2024 17:03:16,25-09-2024 17:03:16,0.309s,PASSED
"click(findTestObject(""Object Repository/Page_ClaimFiling - Easy Claims/Page_File Claim - Easy Claims/input_Male_MemberGender""))",Chrome 129.0.0.0,,,25-09-2024 17:03:16,25-09-2024 17:03:18,2.129s,PASSED
"click(findTestObject(""Object Repository/Page_ClaimFiling - Easy Claims/Page_File Claim - Easy Claims/input_Date of Birth_MemberBirthDate""))",Chrome 129.0.0.0,,,25-09-2024 17:03:18,25-09-2024 17:03:19,0.285s,PASSED
"setText(findTestObject(""Object Repository/Page_ClaimFiling - Easy Claims/Page_File Claim - Easy Claims/input_Date of Birth_MemberBirthDate""), ""1/24/1964"")",Chrome 129.0.0.0,,,25-09-2024 17:03:19,25-09-2024 17:03:19,0.786s,PASSED
"sendKeys(findTestObject(""Object Repository/Page_ClaimFiling - Easy Claims/Page_File Claim - Easy Claims/textarea_Mailing Address_MailingAddress""), ""mail@gmail.com"")",Chrome 129.0.0.0,,,25-09-2024 17:03:19,25-09-2024 17:03:20,0.291s,PASSED
"click(findTestObject(""Object Repository/Page_ClaimFiling - Easy Claims/Page_File Claim - Easy Claims/input_Zip Code_ZipCode""))",Chrome 129.0.0.0,,,25-09-2024 17:03:20,25-09-2024 17:03:20,0.272s,PASSED
"sendKeys(findTestObject(""Object Repository/Page_ClaimFiling - Easy Claims/Page_File Claim - Easy Claims/input_Zip Code_ZipCode""), ""1128"")",Chrome 129.0.0.0,,,25-09-2024 17:03:20,25-09-2024 17:03:20,0.274s,PASSED
"click(findTestObject(""Object Repository/Page_ClaimFiling - Easy Claims/Page_File Claim - Easy Claims/span_Select One_k-select""))",Chrome 129.0.0.0,,,25-09-2024 17:03:20,25-09-2024 17:03:21,0.323s,PASSED
"click(findTestObject(""Object Repository/Page_ClaimFiling - Easy Claims/Page_File Claim - Easy Claims/li_Individually Paying""))",Chrome 129.0.0.0,,,25-09-2024 17:03:21,25-09-2024 17:03:21,0.506s,PASSED
"click(findTestObject(""Object Repository/Page_ClaimFiling - Easy Claims/Page_File Claim - Easy Claims/span_Select One_k-icon k-i-arrow-60-down""))",Chrome 129.0.0.0,,,25-09-2024 17:03:21,25-09-2024 17:03:22,0.531s,PASSED
"click(findTestObject(""Object Repository/Page_ClaimFiling - Easy Claims/Page_File Claim - Easy Claims/li_Member (Self)""))",Chrome 129.0.0.0,,,25-09-2024 17:03:22,25-09-2024 17:03:22,0.530s,PASSED
"sendKeys(findTestObject(""Object Repository/Page_ClaimFiling - Easy Claims/Page_File Claim - Easy Claims/input_Admission Date and Time_AdmissionDateTime""), ""9/23/2024 12:00 AM"")",Chrome 129.0.0.0,,,25-09-2024 17:03:22,25-09-2024 17:03:23,0.503s,PASSED
"sendKeys(findTestObject(""Object Repository/Page_ClaimFiling - Easy Claims/Page_File Claim - Easy Claims/input_Discharge Date and Time_DischargeDateTime""), ""9/24/2024 11:00 PM"")",Chrome 129.0.0.0,,,25-09-2024 17:03:23,25-09-2024 17:03:23,0.296s,PASSED
"click(findTestObject(""Object Repository/Page_ClaimFiling - Easy Claims/Page_File Claim - Easy Claims/input_Save for E-Claims_IsFinal""))",Chrome 129.0.0.0,,,25-09-2024 17:03:23,25-09-2024 17:03:23,0.475s,PASSED
"click(findTestObject(""Object Repository/Page_ClaimFiling - Easy Claims/Page_File Claim - Easy Claims/input_Transmittal Number_TransmittalNo""))",Chrome 129.0.0.0,,,25-09-2024 17:03:23,25-09-2024 17:03:24,0.514s,PASSED
"sendKeys(findTestObject(""Object Repository/Page_ClaimFiling - Easy Claims/Page_File Claim - Easy Claims/input_Transmittal Number_TransmittalNo""), ""TRANSS1212"")",Chrome 129.0.0.0,,,25-09-2024 17:03:24,25-09-2024 17:03:24,0.269s,PASSED
"doubleClick(findTestObject(""Object Repository/Page_ClaimFiling - Easy Claims/Page_File Claim - Easy Claims/input_Transmittal Number_TransmittalNo""))",Chrome 129.0.0.0,,,25-09-2024 17:03:24,25-09-2024 17:03:25,0.408s,PASSED
"sendKeys(findTestObject(""Object Repository/Page_ClaimFiling - Easy Claims/Page_File Claim - Easy Claims/input_Claim Number_ClaimNumber""), ""CLAIMM1212"")",Chrome 129.0.0.0,,,25-09-2024 17:03:25,25-09-2024 17:03:25,0.287s,PASSED
"click(findTestObject(""Object Repository/Page_ClaimFiling - Easy Claims/Page_File Claim - Easy Claims/input_Please ensure that all of the entered_eacd21""))",Chrome 129.0.0.0,,,25-09-2024 17:03:25,25-09-2024 17:03:25,0.328s,PASSED
"click(findTestObject(""Object Repository/Page_ClaimFiling - Easy Claims/Page_PBEF - Easy Claims/input_Generating and printing of this form _08f184""))",Chrome 129.0.0.0,,,25-09-2024 17:03:25,25-09-2024 17:03:27,1.377s,PASSED
"click(findTestObject(""Object Repository/Page_ClaimFiling - Easy Claims/Page_PBEF - Easy Claims/input_Generating and printing of this form _e07ca8""))",Chrome 129.0.0.0,,,25-09-2024 17:03:27,25-09-2024 17:03:28,1.050s,PASSED
"navigateToUrl(""http://172.30.1.26/OPSUI.EasyClaims.Legacy/Claim/Eligibility?forEditing=False"")",Chrome 129.0.0.0,,,25-09-2024 17:03:28,25-09-2024 17:03:28,0.310s,PASSED
"click(findTestObject(""Object Repository/Page_ClaimFiling - Easy Claims/Page_File Claim - Easy Claims/input_Please ensure that all of the entered_eacd21""))",Chrome 129.0.0.0,,,25-09-2024 17:03:28,25-09-2024 17:03:29,1.369s,PASSED
