Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"EC Legacy Regression Testing, DRG(eSOA Enhancement)",Chrome 129.0.0.0,,,03-10-2024 09:12:08,03-10-2024 09:12:56,47.712s,PASSED
,,,,,,,
Test Cases/EasyClaimLegacyLoginAndHospitalAndUser,Chrome 129.0.0.0,,,03-10-2024 09:12:08,03-10-2024 09:12:32,23.261s,PASSED
"openBrowser("""")",Chrome 129.0.0.0,,,03-10-2024 09:12:09,03-10-2024 09:12:10,1.488s,PASSED
"navigateToUrl(""http://172.30.1.26/DRG_TEST/Account/Login?ReturnUrl=%2FDRG_TEST%2FConnect%3FReturnUrl%3D%252FDRG_TEST%252FAccount%252FLogOff"")",Chrome 129.0.0.0,,,03-10-2024 09:12:10,03-10-2024 09:12:11,0.805s,PASSED
maximizeWindow(),Chrome 129.0.0.0,,,03-10-2024 09:12:11,03-10-2024 09:12:11,0.058s,PASSED
"setText(findTestObject(""Object Repository/Page_Login, User, Hospital - Easy Claims/input_Username_Username""), ""patchedrgadmin"")",Chrome 129.0.0.0,,,03-10-2024 09:12:11,03-10-2024 09:12:12,0.758s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Login, User, Hospital - Easy Claims/input_Password_Password""), ""nwr9I1qT+J0GbQ++JlYjHw=="")",Chrome 129.0.0.0,,,03-10-2024 09:12:12,03-10-2024 09:12:12,0.340s,PASSED
"sendKeys(findTestObject(""Object Repository/Page_Login, User, Hospital - Easy Claims/input_Password_Password""), Keys.chord(ENTER))",Chrome 129.0.0.0,,,03-10-2024 09:12:12,03-10-2024 09:12:13,0.419s,PASSED
"click(findTestObject(""Object Repository/Page_Login, User, Hospital - Easy Claims/Page_Connect - Easy Claims/span_Control Panel""))",Chrome 129.0.0.0,,,03-10-2024 09:12:13,03-10-2024 09:12:15,2.935s,PASSED
"navigateToUrl(""http://172.30.1.26/DRG_TEST/ControlPanel"")",Chrome 129.0.0.0,,,03-10-2024 09:12:15,03-10-2024 09:12:16,0.410s,PASSED
"click(findTestObject(""Object Repository/Page_Login, User, Hospital - Easy Claims/Page_Control Panel - Easy Claims/span_Hospital Information (offline mode)""))",Chrome 129.0.0.0,,,03-10-2024 09:12:16,03-10-2024 09:12:18,2.571s,PASSED
"click(findTestObject(""Object Repository/Page_Login, User, Hospital - Easy Claims/Page_Control Panel - Easy Claims/input_b1 l1 bf homes, exchange 05 PAGPARTIA_a9fde9""))",Chrome 129.0.0.0,,,03-10-2024 09:12:18,03-10-2024 09:12:19,0.284s,PASSED
"setText(findTestObject(""Object Repository/Page_Login, User, Hospital - Easy Claims/Page_Control Panel - Easy Claims/input_Username_ConnectUserName""), ""PRO4A_DEPTMCAH_JMC_01"")",Chrome 129.0.0.0,,,03-10-2024 09:12:19,03-10-2024 09:12:20,0.863s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Login, User, Hospital - Easy Claims/Page_Control Panel - Easy Claims/input_Password_ConnectPassword""), ""Ov4DKeIvXLiGp9jFpjbR/w=="")",Chrome 129.0.0.0,,,03-10-2024 09:12:20,03-10-2024 09:12:20,0.302s,PASSED
"click(findTestObject(""Object Repository/Page_Login, User, Hospital - Easy Claims/Page_Control Panel - Easy Claims/input_Password_k-button k-primary""))",Chrome 129.0.0.0,,,03-10-2024 09:12:20,03-10-2024 09:12:20,0.301s,PASSED
"click(findTestObject(""Object Repository/Page_Login, User, Hospital - Easy Claims/Page_Control Panel - Easy Claims/div_Hospital Code                          _698c28""))",Chrome 129.0.0.0,,,03-10-2024 09:12:20,03-10-2024 09:12:23,2.752s,PASSED
"setText(findTestObject(""Object Repository/Page_Login, User, Hospital - Easy Claims/Page_Control Panel - Easy Claims/input_Hospital Email_Hospital.HospitalEmail""), ""peter@gmail.com"")",Chrome 129.0.0.0,,,03-10-2024 09:12:23,03-10-2024 09:12:23,0.548s,PASSED
